zone_geo;AGE_INF_18;AGE_18&19;AGE_20_24;AGE_25_29;AGE_30_34;AGE_35_39;AGE_40&plus;annee
Tarn-et-Garonne;24;53;160;182;166;138;52;2020
Var;119;250;903;977;965;712;319;2020
Vaucluse;75;110;491;496;480;360;161;2020
Vendée;36;72;279;274;290;232;101;2020
Vienne;33;64;248;216;230;144;71;2020
Haute-Vienne;44;62;246;207;196;136;66;2020
Vosges;25;47;177;176;206;139;62;2020
Yonne;34;47;162;211;183;157;75;2020
Territoire de Belfort;17;16;83;95;91;67;25;2020
Essonne;137;265;1112;1277;1228;930;433;2020
Hauts-de-Seine;132;268;1115;1380;1287;1048;516;2020
Seine-Saint-Denis;200;452;1850;2103;1909;1372;609;2020
Val-de-Marne;161;274;1280;1467;1386;1008;500;2020
Val-d'Oise;121;274;1161;1359;1259;1001;427;2020
Guadeloupe;107;192;627;752;643;571;281;2020
Martinique;82;107;411;486;447;276;151;2020
Guyane;173;224;678;767;616;446;198;2020
La Réunion;213;316;958;993;882;665;291;2020
Mayotte;156;146;338;357;288;164;64;2020
Auvergne -  Rhône-Alpes;676;1311;4970;5340;5047;3819;1804;2020
Bourgogne -  Franche-Comté;215;385;1453;1482;1425;1173;509;2020
Bretagne;246;443;1767;1629;1685;1360;634;2020
Centre -  Val de Loire;218;393;1419;1477;1457;1035;484;2020
Corse;26;58;195;241;270;235;132;2020
Grand Est;429;767;3086;3146;3076;2297;942;2020
Hauts-de-France;637;1023;3915;3971;3748;2670;1103;2020
Ile-de-France;1167;2419;10240;12272;11341;8626;4072;2020
Normandie;325;505;1817;1825;1870;1332;596;2020
Nouvelle-Aquitaine;537;949;3665;3517;3707;2675;1225;2020
Occitanie;611;1084;4496;4671;4241;3261;1461;2020
Pays de la Loire;276;490;1928;1962;1883;1476;638;2020
Provence - Alpes - Côte d'Azur;577;1215;4794;4948;4743;3637;1639;2020
Ain;52;98;377;376;337;269;125;2019
Aisne;81;113;335;343;343;244;93;2019
Allier;33;68;243;183;157;114;67;2019
Alpes-de-Haute-Provence;25;38;133;159;126;102;39;2019
Hautes-Alpes;20;19;123;113;124;95;43;2019
Alpes-Maritimes;133;301;999;1161;1029;831;399;2019
Ardèche;24;51;320;228;216;163;91;2019
Ardennes;24;43;139;139;134;99;33;2019
Ariège;21;39;213;139;109;87;44;2019
Aube;39;60;201;204;189;141;63;2019
Aude;48;99;273;300;306;194;99;2019
Aveyron;27;36;141;156;142;118;65;2019
Bouches-du-Rhône;289;596;2301;2344;2156;1524;728;2019
Calvados;70;116;395;363;377;262;100;2019
Cantal;4;16;56;67;57;56;26;2019
Charente;38;68;192;208;213;167;59;2019
Charente-Maritime;60;122;347;401;370;263;106;2019
Cher;35;48;170;173;156;122;58;2019
Corrèze;24;27;150;118;113;82;38;2019
Corse-du-Sud;17;22;96;152;147;103;55;2019
Haute-Corse;27;34;147;176;166;126;51;2019
Côte-d'Or;43;92;302;292;312;227;83;2019
Côtes-d'Armor;45;93;295;329;337;253;128;2019
Creuse;7;11;42;36;42;25;20;2019
Dordogne;52;87;255;222;228;181;79;2019
Doubs;52;94;352;356;311;208;101;2019
Drôme;46;106;294;328;326;267;103;2019
Eure;72;100;358;384;407;299;137;2019
Eure-et-Loir;58;78;256;292;326;217;97;2019
Finistère;80;148;454;404;435;354;148;2019
Gard;97;158;502;566;582;461;179;2019
Haute-Garonne;126;288;1344;1315;1135;868;361;2019
Gers;15;22;82;90;96;74;34;2019
Gironde;173;310;1309;1291;1173;888;428;2019
Hérault;140;281;1125;1058;975;722;338;2019
Ille-et-Vilaine;109;153;627;596;586;456;191;2019
Indre;9;35;107;106;109;97;48;2019
Indre-et-Loire;40;93;320;326;332;215;76;2019
Isère;108;249;760;824;738;638;285;2019
Jura;17;38;112;135;125;103;34;2019
Landes;37;62;225;240;223;196;77;2019
Loir-et-Cher;28;49;149;165;147;132;47;2019
Loire;64;129;505;433;406;316;139;2019
Haute-Loire;12;22;116;81;116;65;35;2019
Loire-Atlantique;127;227;868;898;808;657;313;2019
Loiret;75;138;513;480;493;339;138;2019
Lot;19;24;96;119;87;84;42;2019
Lot-et-Garonne;28;63;232;251;216;151;79;2019
Lozère;5;12;41;32;39;36;15;2019
Maine-et-Loire;81;111;429;423;389;280;114;2019
Manche;29;55;231;229;195;162;77;2019
Marne;68;101;388;399;333;229;90;2019
Haute-Marne;16;21;87;90;97;69;19;2019
Mayenne;24;35;124;124;119;87;41;2019
Meurthe-et-Moselle;78;132;494;474;421;299;117;2019
Meuse;21;16;111;87;76;57;28;2019
Morbihan;67;115;393;393;350;294;132;2019
Moselle;79;166;598;617;682;491;198;2019
Nièvre;11;44;109;110;98;82;26;2019
Nord;349;530;1888;1887;1718;1258;525;2019
Oise;89;152;525;551;568;438;160;2019
Orne;21;47;144;138;111;104;46;2019
Pas-de-Calais;199;263;906;969;874;640;264;2019
Puy-de-Dôme;62;126;422;406;314;245;132;2019
Pyrénées-Atlantiques;50;118;362;380;404;331;151;2019
Hautes-Pyrénées;33;45;138;148;143;96;38;2019
Pyrénées-Orientales;85;118;460;395;394;287;128;2019
Bas-Rhin;92;177;675;647;599;457;207;2019
Haut-Rhin;61;134;429;425;400;339;144;2019
Rhône;179;399;1533;1503;1340;1050;402;2019
Haute-Saône;33;36;116;121;115;84;48;2019
Saône-et-Loire;49;86;262;260;248;197;89;2019
Sarthe;66;72;326;320;301;213;85;2019
Savoie;25;69;250;272;278;247;109;2019
Haute-Savoie;63;114;503;613;655;470;185;2019
Paris;155;382;1826;2484;2125;1371;673;2019
Seine-Maritime;158;231;799;845;805;516;189;2019
Seine-et-Marne;185;357;1313;1436;1391;1076;446;2019
Yvelines;123;225;968;1158;1019;851;368;2019
Deux-Sèvres;30;44;134;162;162;118;69;2019
Somme;70;113;390;359;297;217;95;2019
Tarn;40;64;252;226;218;202;101;2019
Tarn-et-Garonne;39;60;157;195;210;137;66;2019
Var;138;271;1019;1006;986;825;366;2019
Vaucluse;78;129;487;512;507;372;160;2019
Vendée;51;106;303;230;289;203;115;2019
Vienne;39;66;288;255;214;148;79;2019
Haute-Vienne;31;77;243;225;222;128;49;2019
Vosges;42;63;190;243;213;128;66;2019
Yonne;36;63;187;246;228;166;63;2019
Territoire de Belfort;22;28;94;106;104;59;17;2019
Essonne;173;302;1200;1459;1289;901;443;2019
Hauts-de-Seine;146;269;1193;1409;1259;1083;559;2019
Seine-Saint-Denis;285;535;1902;2245;1981;1403;619;2019
Val-de-Marne;200;316;1359;1614;1519;1059;489;2019
Val-d'Oise;165;328;1300;1330;1285;979;402;2019
Guadeloupe;104;196;582;807;601;483;248;2019
Martinique;88;157;421;533;482;273;155;2019
Guyane;177;189;591;751;587;446;149;2019
La Réunion;272;361;1009;1014;855;634;271;2019
Mayotte;156;161;300;337;258;159;58;2019
Auvergne -  Rhône-Alpes;672;1447;5379;5314;4940;3900;1699;2019
Bourgogne -  Franche-Comté;263;481;1534;1626;1541;1126;461;2019
Bretagne;301;509;1769;1722;1708;1357;599;2019
Centre -  Val de Loire;245;441;1515;1542;1563;1122;464;2019
Corse;44;56;243;328;313;229;106;2019
Grand Est;520;913;3312;3325;3144;2309;965;2019
Hauts-de-France;788;1171;4044;4109;3800;2797;1137;2019
Ile-de-France;1432;2714;11061;13135;11868;8723;3999;2019
Normandie;350;549;1927;1959;1895;1343;549;2019
Nouvelle-Aquitaine;569;1055;3779;3789;3580;2678;1234;2019
Occitanie;695;1246;4824;4739;4436;3366;1510;2019
Pays de la Loire;349;551;2050;1995;1906;1440;668;2019
Provence - Alpes - Côte d'Azur;683;1354;5062;5295;4928;3749;1735;2019
Ain;38;100;370;357;315;249;112;2018
Aisne;82;97;342;355;336;237;103;2018
Allier;35;53;260;180;195;122;56;2018
Alpes-de-Haute-Provence;19;41;158;132;103;107;42;2018
Hautes-Alpes;18;47;167;132;102;103;35;2018
Alpes-Maritimes;108;291;1068;1173;1005;745;338;2018
Ardèche;34;91;369;261;210;160;62;2018
Ardennes;28;44;111;126;103;74;39;2018
Ariège;20;64;264;164;82;75;35;2018
Aube;44;56;210;226;200;150;54;2018
Aude;62;86;261;321;297;235;92;2018
Aveyron;19;42;135;144;146;108;46;2018
Bouches-du-Rhône;309;650;2261;2343;2033;1484;670;2018
Calvados;61;117;412;366;355;276;102;2018
Cantal;11;24;57;69;63;66;22;2018
Charente;41;71;199;225;203;148;64;2018
Charente-Maritime;47;78;371;363;354;268;121;2018
Cher;37;46;169;165;155;131;61;2018
Corrèze;19;44;125;129;134;82;32;2018
Corse-du-Sud;13;27;129;133;143;105;43;2018
Haute-Corse;11;35;129;139;147;125;45;2018
Côte-d'Or;53;86;288;300;267;200;78;2018
Côtes-d'Armor;53;91;291;295;296;231;117;2018
Creuse;4;16;45;37;43;43;11;2018
Dordogne;56;91;246;264;232;179;69;2018
Doubs;40;82;339;332;297;232;100;2018
Drôme;51;87;280;314;308;274;95;2018
Eure;58;93;341;398;389;275;123;2018
Eure-et-Loir;56;88;227;275;311;207;92;2018
Finistère;82;148;439;454;420;319;138;2018
Gard;98;152;575;586;548;395;193;2018
Haute-Garonne;118;279;1324;1232;1033;784;313;2018
Gers;14;28;90;89;98;68;30;2018
Gironde;162;313;1378;1338;1147;849;366;2018
Hérault;160;302;1132;1082;878;651;293;2018
Ille-et-Vilaine;93;145;664;593;555;413;198;2018
Indre;13;32;130;107;90;69;26;2018
Indre-et-Loire;73;105;351;299;299;225;98;2018
Isère;134;224;806;819;783;594;276;2018
Jura;25;32;118;128;130;98;40;2018
Landes;44;45;235;263;207;175;69;2018
Loir-et-Cher;31;40;166;157;153;96;55;2018
Loire;59;147;447;410;386;286;128;2018
Haute-Loire;24;34;89;105;100;77;40;2018
Loire-Atlantique;141;248;838;855;756;619;250;2018
Loiret;96;133;520;507;471;352;120;2018
Lot;21;32;104;106;96;63;33;2018
Lot-et-Garonne;42;78;222;231;210;156;60;2018
Lozère;6;9;28;43;31;33;16;2018
Maine-et-Loire;80;131;366;365;347;274;100;2018
Manche;42;64;189;206;216;146;57;2018
Marne;50;85;375;369;304;211;87;2018
Haute-Marne;18;24;78;97;74;57;30;2018
Mayenne;19;41;134;122;109;105;43;2018
Meurthe-et-Moselle;55;98;530;484;433;303;131;2018
Meuse;20;19;90;85;83;65;24;2018
Morbihan;67;104;386;365;368;285;127;2018
Moselle;70;141;574;664;621;420;180;2018
Nièvre;16;20;117;93;107;75;39;2018
Nord;348;520;1883;1881;1654;1186;532;2018
Oise;89;152;461;509;566;383;173;2018
Orne;25;40;137;110;129;101;48;2018
Pas-de-Calais;231;238;825;918;848;569;249;2018
Puy-de-Dôme;64;142;407;381;334;269;108;2018
Pyrénées-Atlantiques;56;88;372;391;384;301;136;2018
Hautes-Pyrénées;14;47;137;127;119;125;47;2018
Pyrénées-Orientales;64;145;453;389;397;278;110;2018
Bas-Rhin;94;181;660;660;595;434;184;2018
Haut-Rhin;72;113;396;433;415;304;134;2018
Rhône;176;361;1583;1629;1263;925;425;2018
Haute-Saône;22;33;125;114;123;123;25;2018
Saône-et-Loire;59;70;233;245;235;169;74;2018
Sarthe;59;91;280;281;279;173;67;2018
Savoie;31;87;259;257;269;219;95;2018
Haute-Savoie;74;130;482;667;551;455;195;2018
Paris;162;403;1953;2582;1979;1352;654;2018
Seine-Maritime;150;221;816;855;710;520;207;2018
Seine-et-Marne;199;331;1256;1545;1420;993;437;2018
Yvelines;131;263;945;1060;939;761;352;2018
Deux-Sèvres;39;57;181;161;161;102;53;2018
Somme;77;108;365;365;334;197;94;2018
Tarn;35;77;252;238;214;204;79;2018
Tarn-et-Garonne;32;60;220;192;179;144;73;2018
Var;161;240;961;1058;993;777;344;2018
Vaucluse;72;133;491;535;471;340;164;2018
Vendée;52;79;261;274;260;240;112;2018
Vienne;37;81;247;231;169;166;50;2018
Haute-Vienne;32;77;244;233;179;113;63;2018
Vosges;43;49;209;214;168;156;62;2018
Yonne;42;59;199;217;222;168;63;2018
Territoire de Belfort;23;22;89;87;90;64;33;2018
Essonne;188;295;1208;1399;1227;868;327;2018
Hauts-de-Seine;131;261;1188;1474;1207;1017;495;2018
Seine-Saint-Denis;231;487;1850;2202;1904;1413;577;2018
Val-de-Marne;161;349;1273;1527;1392;994;441;2018
Val-d'Oise;181;327;1233;1363;1189;963;413;2018
Guadeloupe;116;204;663;744;635;486;248;2018
Martinique;106;160;479;536;419;287;133;2018
Guyane;152;184;627;630;487;324;135;2018
La Réunion;275;379;1038;982;912;646;271;2018
Mayotte;179;164;381;347;278;153;66;2018
Auvergne -  Rhône-Alpes;731;1480;5409;5449;4777;3696;1614;2018
Bourgogne -  Franche-Comté;280;404;1508;1516;1471;1129;452;2018
Bretagne;295;488;1780;1707;1639;1248;580;2018
Centre -  Val de Loire;306;444;1563;1510;1479;1080;452;2018
Corse;24;62;258;272;290;230;88;2018
Grand Est;494;810;3233;3358;2996;2174;925;2018
Hauts-de-France;827;1115;3876;4028;3738;2572;1151;2018
Ile-de-France;1384;2716;10906;13152;11257;8361;3696;2018
Normandie;336;535;1895;1935;1799;1318;537;2018
Nouvelle-Aquitaine;579;1039;3865;3866;3423;2582;1094;2018
Occitanie;663;1323;4975;4713;4118;3163;1360;2018
Pays de la Loire;351;590;1879;1897;1751;1411;572;2018
Provence - Alpes - Côte d'Azur;687;1402;5106;5373;4707;3556;1593;2018
Ain;40;116;331;339;307;242;99;2017
Aisne;94;87;356;374;357;248;93;2017
Allier;34;60;231;179;175;122;46;2017
Alpes-de-Haute-Provence;23;44;132;148;122;90;39;2017
Hautes-Alpes;15;25;126;134;114;75;30;2017
Alpes-Maritimes;148;289;1131;1082;963;724;298;2017
Ardèche;28;73;342;214;192;158;59;2017
Ardennes;23;37;143;133;132;83;34;2017
Ariège;21;41;246;136;92;85;31;2017
Aube;47;62;219;221;172;139;44;2017
Aude;60;110;282;305;265;204;90;2017
Aveyron;31;45;159;127;128;90;42;2017
Bouches-du-Rhône;334;598;2242;2308;1960;1457;639;2017
Calvados;67;124;380;365;325;254;114;2017
Cantal;14;22;57;63;63;50;32;2017
Charente;37;67;208;201;191;136;73;2017
Charente-Maritime;86;123;361;326;304;252;114;2017
Cher;30;53;163;181;135;114;50;2017
Corrèze;23;38;132;108;108;83;30;2017
Corse-du-Sud;12;26;91;135;125;89;34;2017
Haute-Corse;21;40;167;162;122;104;54;2017
Côte-d'Or;45;76;336;281;266;185;83;2017
Côtes-d'Armor;50;96;317;285;285;214;128;2017
Creuse;14;16;32;44;41;34;14;2017
Dordogne;51;75;267;271;204;159;72;2017
Doubs;53;76;309;332;274;235;91;2017
Drôme;68;99;274;339;308;197;91;2017
Eure;83;113;337;394;394;291;125;2017
Eure-et-Loir;51;66;243;301;292;202;99;2017
Finistère;68;134;445;387;320;341;109;2017
Gard;88;176;552;540;519;402;179;2017
Haute-Garonne;117;302;1331;1178;991;656;328;2017
Gers;14;25;72;84;69;86;35;2017
Gironde;168;374;1310;1306;1015;796;338;2017
Hérault;155;294;1164;1056;789;598;296;2017
Ille-et-Vilaine;69;157;626;607;494;361;184;2017
Indre;12;39;114;118;81;59;31;2017
Indre-et-Loire;58;83;329;284;255;215;82;2017
Isère;111;185;739;747;732;546;287;2017
Jura;21;39;133;129;108;85;43;2017
Landes;43;56;191;246;214;159;73;2017
Loir-et-Cher;25;37;139;151;147;87;49;2017
Loire;63;146;416;383;368;267;131;2017
Haute-Loire;10;47;100;95;92;74;38;2017
Loire-Atlantique;132;233;842;812;757;490;228;2017
Loiret;85;121;482;486;436;295;153;2017
Lot;12;25;105;104;81;72;24;2017
Lot-et-Garonne;41;81;223;202;223;150;58;2017
Lozère;4;12;52;43;37;30;19;2017
Maine-et-Loire;56;110;348;405;322;230;110;2017
Manche;31;53;203;209;192;138;70;2017
Marne;57;109;378;355;293;201;71;2017
Haute-Marne;18;29;74;95;65;53;23;2017
Mayenne;16;30;130;124;115;97;39;2017
Meurthe-et-Moselle;73;150;473;467;409;296;121;2017
Meuse;14;27;94;89;82;56;25;2017
Morbihan;65;99;362;381;334;266;114;2017
Moselle;72;148;574;590;588;413;184;2017
Nièvre;15;28;113;98;91;73;43;2017
Nord;390;578;1960;1866;1532;1091;490;2017
Oise;91;129;422;514;452;323;525;2017
Orne;37;35;122;118;90;76;32;2017
Pas-de-Calais;252;209;820;856;749;507;236;2017
Puy-de-Dôme;93;110;399;364;331;245;102;2017
Pyrénées-Atlantiques;58;105;399;376;364;273;111;2017
Hautes-Pyrénées;18;38;128;144;118;85;46;2017
Pyrénées-Orientales;85;130;420;360;361;290;121;2017
Bas-Rhin;94;177;705;620;549;436;170;2017
Haut-Rhin;78;125;395;410;361;283;120;2017
Rhône;180;379;1561;1483;1238;887;418;2017
Haute-Saône;27;29;107;105;107;99;55;2017
Saône-et-Loire;54;56;253;271;232;166;75;2017
Sarthe;54;73;272;251;252;165;62;2017
Savoie;36;70;241;279;244;206;89;2017
Haute-Savoie;71;131;528;613;551;427;187;2017
Paris;217;428;1959;2597;1977;1363;670;2017
Seine-Maritime;180;216;824;828;744;484;206;2017
Seine-et-Marne;232;309;1330;1445;1358;940;413;2017
Yvelines;136;229;923;988;940;716;301;2017
Deux-Sèvres;32;36;139;156;127;107;43;2017
Somme;71;119;351;338;278;183;81;2017
Tarn;45;77;237;213;205;161;70;2017
Tarn-et-Garonne;37;52;188;192;174;131;75;2017
Var;135;263;948;947;850;660;296;2017
Vaucluse;98;132;471;523;417;329;156;2017
Vendée;49;76;263;262;261;201;98;2017
Vienne;34;69;244;250;177;129;58;2017
Haute-Vienne;39;68;208;206;171;126;64;2017
Vosges;47;76;210;206;187;119;68;2017
Yonne;50;56;188;237;217;143;72;2017
Territoire de Belfort;21;26;92;96;80;62;33;2017
Essonne;175;289;1298;1388;1162;814;341;2017
Hauts-de-Seine;159;285;1254;1495;1296;965;460;2017
Seine-Saint-Denis;271;465;1849;2147;1804;1260;504;2017
Val-de-Marne;151;306;1294;1508;1271;966;433;2017
Val-d'Oise;160;298;1174;1281;1204;834;320;2017
Guadeloupe;124;180;647;709;546;411;215;2017
Martinique;132;146;472;537;407;269;120;2017
Guyane;189;186;542;532;450;269;100;2017
La Réunion;281;347;1016;989;806;589;254;2017
Mayotte;198;159;386;344;254;153;54;2017
Auvergne -  Rhône-Alpes;748;1438;5219;5098;4601;3421;1579;2017
Bourgogne -  Franche-Comté;286;386;1531;1549;1375;1048;495;2017
Bretagne;252;486;1750;1660;1433;1182;535;2017
Centre -  Val de Loire;261;399;1470;1521;1346;972;464;2017
Corse;33;66;258;297;247;193;88;2017
Grand Est;523;940;3265;3186;2838;2079;860;2017
Hauts-de-France;898;1122;3909;3948;3368;2352;1425;2017
Ile-de-France;1501;2609;11081;12849;11012;7858;3442;2017
Normandie;398;541;1866;1914;1745;1243;547;2017
Nouvelle-Aquitaine;626;1108;3714;3692;3139;2404;1048;2017
Occitanie;687;1327;4936;4482;3829;2890;1356;2017
Pays de la Loire;307;522;1855;1854;1707;1183;537;2017
Provence - Alpes - Côte d'Azur;753;1351;5050;5142;4426;3335;1458;2017
Ain;56;91;346;331;333;225;124;2016
Aisne;99;97;374;374;314;221;104;2016
Allier;48;65;220;193;139;121;60;2016
Alpes-de-Haute-Provence;31;30;117;117;111;94;57;2016
Hautes-Alpes;18;40;115;118;106;87;48;2016
Alpes-Maritimes;160;294;1128;1023;920;708;338;2016
Ardèche;31;74;328;222;197;145;59;2016
Ardennes;28;45;157;136;110;69;33;2016
Ariège;20;48;234;145;97;63;38;2016
Aube;36;58;216;231;186;126;49;2016
Aude;74;70;302;325;272;163;92;2016
Aveyron;26;50;129;130;127;89;48;2016
Bouches-du-Rhône;345;616;2294;2266;1877;1388;686;2016
Calvados;67;121;392;377;338;236;102;2016
Cantal;12;21;59;83;57;51;24;2016
Charente;40;49;206;222;189;129;59;2016
Charente-Maritime;73;121;360;374;308;211;109;2016
Cher;27;55;177;187;138;103;51;2016
Corrèze;20;47;111;126;131;80;42;2016
Corse-du-Sud;26;22;97;119;113;93;45;2016
Haute-Corse;26;29;171;158;125;115;46;2016
Côte-d'Or;45;87;304;254;218;173;78;2016
Côtes-d'Armor;59;93;272;306;266;212;115;2016
Creuse;10;9;41;45;46;34;17;2016
Dordogne;50;86;266;263;188;154;104;2016
Doubs;62;93;314;337;292;195;95;2016
Drôme;67;89;284;309;318;197;114;2016
Eure;84;109;350;398;369;285;112;2016
Eure-et-Loir;47;64;236;315;238;196;91;2016
Finistère;87;141;413;423;338;293;136;2016
Gard;107;170;560;548;522;405;176;2016
Haute-Garonne;146;303;1288;1221;929;681;311;2016
Gers;15;19;85;82;80;54;32;2016
Gironde;192;360;1365;1215;993;725;325;2016
Hérault;171;312;1135;1031;788;603;315;2016
Ille-et-Vilaine;100;171;635;613;502;362;212;2016
Indre;10;42;123;111;86;74;26;2016
Indre-et-Loire;60;105;307;275;265;162;81;2016
Isère;128;207;820;748;679;514;262;2016
Jura;27;48;127;148;146;86;52;2016
Landes;44;54;200;220;219;162;80;2016
Loir-et-Cher;32;47;162;176;141;95;53;2016
Loire;73;143;385;397;352;264;137;2016
Haute-Loire;22;36;91;95;88;74;30;2016
Loire-Atlantique;157;230;824;729;693;544;242;2016
Loiret;77;142;493;488;398;319;123;2016
Lot;19;25;94;97;98;59;42;2016
Lot-et-Garonne;39;66;230;203;201;140;64;2016
Lozère;6;15;33;36;33;43;17;2016
Maine-et-Loire;76;138;427;379;327;230;112;2016
Manche;42;68;219;202;177;129;47;2016
Marne;69;108;370;401;315;197;80;2016
Haute-Marne;23;21;82;96;81;52;20;2016
Mayenne;29;33;136;118;108;93;49;2016
Meurthe-et-Moselle;79;129;501;511;376;275;124;2016
Meuse;19;19;95;88;81;55;32;2016
Morbihan;67;108;349;376;312;243;128;2016
Moselle;99;163;594;635;656;410;166;2016
Nièvre;23;37;108;108;86;71;34;2016
Nord;440;608;1864;1830;1527;1058;515;2016
Oise;60;107;409;467;416;298;685;2016
Orne;41;41;112;120;100;67;37;2016
Pas-de-Calais;204;302;901;963;782;557;234;2016
Puy-de-Dôme;60;123;410;377;302;266;105;2016
Pyrénées-Atlantiques;62;132;401;399;379;247;104;2016
Hautes-Pyrénées;22;33;131;157;121;94;34;2016
Pyrénées-Orientales;104;144;432;412;369;249;124;2016
Bas-Rhin;124;161;664;665;550;380;171;2016
Haut-Rhin;90;115;381;445;386;285;104;2016
Rhône;189;369;1589;1449;1181;854;344;2016
Haute-Saône;34;31;121;113;121;87;51;2016
Saône-et-Loire;59;83;257;219;203;153;83;2016
Sarthe;64;93;275;310;232;158;82;2016
Savoie;40;71;267;283;257;208;90;2016
Haute-Savoie;77;133;455;607;490;382;185;2016
Paris;223;477;1993;2460;1881;1316;642;2016
Seine-Maritime;154;245;851;786;709;479;203;2016
Seine-et-Marne;199;344;1291;1380;1205;877;378;2016
Yvelines;184;259;940;973;899;692;305;2016
Deux-Sèvres;41;51;151;151;127;88;45;2016
Somme;90;112;401;369;294;184;96;2016
Tarn;48;82;254;215;203;160;80;2016
Tarn-et-Garonne;39;59;199;195;159;131;56;2016
Var;145;292;935;930;817;599;314;2016
Vaucluse;101;149;512;534;420;322;157;2016
Vendée;46;87;267;265;238;190;94;2016
Vienne;53;77;298;239;197;128;61;2016
Haute-Vienne;50;64;221;203;166;136;62;2016
Vosges;49;60;202;204;143;123;59;2016
Yonne;38;59;189;214;190;139;64;2016
Territoire de Belfort;16;19;108;90;85;57;20;2016
Essonne;176;304;1211;1319;1067;809;364;2016
Hauts-de-Seine;144;336;1293;1446;1241;992;454;2016
Seine-Saint-Denis;327;482;1933;2105;1685;1249;562;2016
Val-de-Marne;160;298;1267;1456;1125;874;423;2016
Val-d'Oise;181;297;1188;1296;1097;790;348;2016
Guadeloupe;134;237;684;654;575;466;242;2016
Martinique;118;161;507;537;449;285;128;2016
Guyane;173;176;478;448;370;215;93;2016
La Réunion;333;392;1073;935;740;527;249;2016
Mayotte;195;173;418;352;258;143;42;2016
Auvergne -  Rhône-Alpes;803;1422;5254;5094;4393;3301;1534;2016
Bourgogne -  Franche-Comté;304;457;1528;1483;1341;961;477;2016
Bretagne;313;513;1669;1718;1418;1110;591;2016
Centre -  Val de Loire;253;455;1498;1552;1266;949;425;2016
Corse;52;51;268;277;238;208;91;2016
Grand Est;616;879;3262;3412;2884;1972;838;2016
Hauts-de-France;893;1226;3949;4003;3333;2318;1634;2016
Ile-de-France;1594;2797;11116;12435;10200;7599;3476;2016
Normandie;388;584;1924;1883;1693;1196;501;2016
Nouvelle-Aquitaine;674;1116;3850;3660;3144;2234;1072;2016
Occitanie;797;1330;4876;4594;3798;2794;1365;2016
Pays de la Loire;372;581;1929;1801;1598;1215;579;2016
Provence - Alpes - Côte d'Azur;800;1421;5101;4988;4251;3198;1600;2016
