zone_geo;part_age_inf18;part_age_inc;annee
Oise;3,8;0,0;2018
Orne;4,2;0,0;2018
Pas-de-Calais;6,0;0,3;2018
Puy-de-Dôme;3,8;0,1;2018
Pyrénées-Atlantiques;3,2;0,3;2018
Hautes-Pyrénées;2,3;0,2;2018
Pyrénées-Orientales;3,5;0,0;2018
Bas-Rhin;3,3;0,0;2018
Haut-Rhin;3,9;0,0;2018
Rhône;2,8;0,0;2018
Haute-Saône;3,9;0,0;2018
Saône-et-Loire;5,4;0,0;2018
Sarthe;4,8;0,0;2018
Savoie;2,5;0,2;2018
Haute-Savoie;2,9;0,2;2018
Paris;1,8;5,0;2018
Seine-Maritime;4,3;0,1;2018
Seine-et-Marne;3,2;0,1;2018
Yvelines;2,9;0,0;2018
Deux-Sèvres;5,2;0,0;2018
Somme;5,0;0,0;2018
Tarn;3,2;0,0;2018
Tarn-et-Garonne;3,6;0,0;2018
Var;3,6;0,2;2018
Vaucluse;3,3;0,1;2018
Vendée;4,1;0,0;2018
Vienne;3,8;0,1;2018
Haute-Vienne;3,4;0,0;2018
Vosges;4,8;0,0;2018
Yonne;4,3;0,1;2018
Territoire de Belfort;5,6;0,0;2018
Essonne;3,4;0,0;2018
Hauts-de-Seine;2,3;0,1;2018
Seine-Saint-Denis;2,7;8,8;2018
Val-de-Marne;2,6;0,1;2018
Val-d'Oise;3,2;0,1;2018
Total métropole;3,4;0,8;2018
Guadeloupe;3,7;1,0;2018
Martinique;5,0;0,0;2018
Guyane;6,0;0,0;2018
La Réunion;6,1;0,7;2018
Mayotte;11,4;0,0;2018
total DROM;6,0;0,5;2018
France entière;3,6;0,9;2018
Auvergne -  Rhône-Alpes;3,2;0,2;2018
Bourgogne -  Franche-Comté;4,1;0,1;2018
Bretagne;3,8;1,0;2018
Centre -  Val de Loire;4,5;0,3;2018
Corse;2,0;0,0;2018
Grand Est;3,5;0,1;2018
Hauts-de-France;4,8;0,1;2018
Ile-de-France;2,7;2,5;2018
Normandie;4,0;0,0;2018
Nouvelle-Aquitaine;3,5;0,2;2018
Occitanie;3,3;0,1;2018
Pays de la Loire;4,2;0,0;2018
Provence - Alpes - Côte d'Azur;3,1;0,2;2018
Ain;2,7;0,1;2017
Aisne;5,8;0,0;2017
Allier;4,0;0,1;2017
Alpes-de-Haute-Provence;3,8;0,3;2017
Hautes-Alpes;2,9;1,0;2017
Alpes-Maritimes;3,2;0,2;2017
Ardèche;2,6;0,0;2017
Ardennes;3,9;0,0;2017
Ariège;3,2;0,0;2017
Aube;5,2;0,0;2017
Aude;4,6;0,0;2017
Aveyron;5,0;0,2;2017
Bouches-du-Rhône;3,5;0,1;2017
Calvados;4,1;0,2;2017
Cantal;4,7;0,0;2017
Charente;4,1;0,1;2017
Charente-Maritime;5,5;0,1;2017
Cher;4,1;0,0;2017
Corrèze;4,4;0,0;2017
Corse-du-Sud;2,3;0,2;2017
Haute-Corse;3,1;0,0;2017
Côte-d'Or;3,5;0,0;2017
Côtes-d'Armor;3,6;0,1;2017
Creuse;7,2;0,0;2017
Dordogne;4,6;0,5;2017
Doubs;3,9;0,0;2017
Drôme;4,9;0,0;2017
Eure;4,8;0,0;2017
Eure-et-Loir;4,1;1,5;2017
Finistère;3,8;0,1;2017
Gard;3,6;0,0;2017
Haute-Garonne;2,4;0,2;2017
Gers;3,6;1,0;2017
Gironde;3,2;0,6;2017
Hérault;3,6;0,0;2017
Ille-et-Vilaine;2,8;2,7;2017
Indre;2,6;0,0;2017
Indre-et-Loire;4,4;0,0;2017
Isère;3,3;0,7;2017
Jura;3,8;0,0;2017
Landes;4,4;0,0;2017
Loir-et-Cher;3,9;0,0;2017
Loire;3,6;0,1;2017
Haute-Loire;2,2;0,0;2017
Loire-Atlantique;3,8;0,0;2017
Loiret;4,1;0,0;2017
Lot;2,8;0,0;2017
Lot-et-Garonne;4,2;0,0;2017
Lozère;2,0;0,0;2017
Maine-et-Loire;3,5;0,0;2017
Manche;3,5;0,0;2017
Marne;3,9;1,3;2017
Haute-Marne;5,0;0,0;2017
Mayenne;2,9;0,0;2017
Meurthe-et-Moselle;3,7;0,1;2017
Meuse;3,6;0,0;2017
Morbihan;4,0;0,2;2017
Moselle;2,8;0,0;2017
Nièvre;3,3;0,9;2017
Nord;4,9;0,1;2017
Oise;3,7;0,0;2017
Orne;7,3;0,0;2017
Pas-de-Calais;6,9;0,0;2017
Puy-de-Dôme;5,7;0,0;2017
Pyrénées-Atlantiques;3,4;0,1;2017
Hautes-Pyrénées;3,1;0,0;2017
Pyrénées-Orientales;4,8;0,0;2017
Bas-Rhin;3,4;0,0;2017
Haut-Rhin;4,4;0,0;2017
Rhône;2,9;0,0;2017
Haute-Saône;5,1;0,2;2017
Saône-et-Loire;4,9;0,1;2017
Sarthe;4,8;0,0;2017
Savoie;3,1;0,1;2017
Haute-Savoie;2,8;0,2;2017
Paris;2,4;4,8;2017
Seine-Maritime;5,2;0,1;2017
Seine-et-Marne;3,8;0,2;2017
Yvelines;3,2;0,1;2017
Deux-Sèvres;5,0;0,0;2017
Somme;5,0;0,0;2017
Tarn;4,5;0,0;2017
Tarn-et-Garonne;4,4;0,0;2017
Var;3,3;0,3;2017
Vaucluse;4,6;0,1;2017
Vendée;4,0;0,0;2017
Vienne;3,5;0,0;2017
Haute-Vienne;4,4;0,0;2017
Vosges;5,1;0,0;2017
Yonne;5,2;0,0;2017
Territoire de Belfort;5,1;0,0;2017
Essonne;3,2;0,0;2017
Hauts-de-Seine;2,7;0,0;2017
Seine-Saint-Denis;3,3;8,8;2017
Val-de-Marne;2,5;0,1;2017
Val-d'Oise;3,0;0,0;2017
Total métropole;3,7;0,8;2017
Guadeloupe;4,4;1,3;2017
Martinique;6,3;0,0;2017
Guyane;8,3;0,0;2017
La Réunion;6,6;0,7;2017
Mayotte;12,8;0,0;2017
total DROM;7,1;0,5;2017
France entière;3,9;1,1;2017
Auvergne -  Rhône-Alpes;3,4;0,1;2017
Bourgogne -  Franche-Comté;4,3;0,1;2017
Bretagne;3,5;1,0;2017
Centre -  Val de Loire;4,1;0,3;2017
Corse;2,8;0,1;2017
Grand Est;3,8;0,1;2017
Hauts-de-France;5,3;0,0;2017
Ile-de-France;3,0;2,5;2017
Normandie;4,8;0,1;2017
Nouvelle-Aquitaine;4,0;0,3;2017
Occitanie;3,5;0,1;2017
Pays de la Loire;3,9;0,0;2017
Provence - Alpes - Côte d'Azur;3,5;0,2;2017
Ain;3,7;0,0;2016
Aisne;6,3;0,0;2016
Allier;5,7;0,0;2016
Alpes-de-Haute-Provence;5,6;0,0;2016
Hautes-Alpes;3,4;4,1;2016
Alpes-Maritimes;3,5;0,2;2016
Ardèche;2,9;0,1;2016
Ardennes;4,8;0,0;2016
Ariège;3,1;0,0;2016
Aube;4,0;0,0;2016
Aude;5,7;0,0;2016
Aveyron;4,3;0,0;2016
Bouches-du-Rhône;3,6;0,3;2016
Calvados;4,1;0,5;2016
Cantal;3,9;0,0;2016
Charente;4,5;0,0;2016
Charente-Maritime;4,7;0,6;2016
Cher;3,7;0,0;2016
Corrèze;3,6;0,0;2016
Corse-du-Sud;5,0;0,2;2016
Haute-Corse;3,9;0,0;2016
Côte-d'Or;3,9;0,0;2016
Côtes-d'Armor;4,5;0,0;2016
Creuse;5,0;0,0;2016
Dordogne;4,5;1,2;2016
Doubs;4,5;0,0;2016
Drôme;4,9;0,0;2016
Eure;4,9;0,1;2016
Eure-et-Loir;4,0;1,1;2016
Finistère;4,8;0,1;2016
Gard;4,3;0,0;2016
Haute-Garonne;3,0;0,2;2016
Gers;4,1;2,9;2016
Gironde;3,7;0,4;2016
Hérault;3,9;0,0;2016
Ille-et-Vilaine;3,9;1,6;2016
Indre;2,1;0,0;2016
Indre-et-Loire;4,8;0,1;2016
Isère;3,8;0,8;2016
Jura;4,3;0,0;2016
Landes;4,5;0,0;2016
Loir-et-Cher;4,5;0,0;2016
Loire;4,2;0,2;2016
Haute-Loire;5,0;0,0;2016
Loire-Atlantique;4,6;0,0;2016
Loiret;3,8;0,0;2016
Lot;4,4;0,0;2016
Lot-et-Garonne;4,1;0,1;2016
Lozère;3,3;1,1;2016
Maine-et-Loire;4,5;0,0;2016
Manche;4,8;0,0;2016
Marne;4,5;1,2;2016
Haute-Marne;6,1;0,0;2016
Mayenne;5,1;0,0;2016
Meurthe-et-Moselle;4,0;0,0;2016
Meuse;4,9;0,0;2016
Morbihan;4,2;0,0;2016
Moselle;3,6;0,0;2016
Nièvre;4,9;0,0;2016
Nord;5,6;0,0;2016
Oise;2,5;0,0;2016
Orne;7,9;0,0;2016
Pas-de-Calais;5,2;0,0;2016
Puy-de-Dôme;3,7;0,0;2016
Pyrénées-Atlantiques;3,6;0,4;2016
Hautes-Pyrénées;3,7;0,0;2016
Pyrénées-Orientales;5,7;0,0;2016
Bas-Rhin;4,6;0,0;2016
Haut-Rhin;5,0;0,0;2016
Rhône;3,2;0,0;2016
Haute-Saône;6,1;0,0;2016
Saône-et-Loire;5,6;0,0;2016
Sarthe;5,3;0,0;2016
Savoie;3,3;0,2;2016
Haute-Savoie;3,3;0,3;2016
Paris;2,5;6,1;2016
Seine-Maritime;4,5;0,1;2016
Seine-et-Marne;3,5;0,1;2016
Yvelines;4,3;0,0;2016
Deux-Sèvres;6,3;0,0;2016
Somme;5,8;0,0;2016
Tarn;4,6;0,0;2016
Tarn-et-Garonne;4,7;0,0;2016
Var;3,6;0,1;2016
Vaucluse;4,6;0,2;2016
Vendée;3,9;0,0;2016
Vienne;5,0;0,1;2016
Haute-Vienne;5,5;0,0;2016
Vosges;5,8;0,0;2016
Yonne;4,3;0,0;2016
Territoire de Belfort;4,1;0,0;2016
Essonne;3,4;0,0;2016
Hauts-de-Seine;2,4;0,0;2016
Seine-Saint-Denis;3,9;1,3;2016
Val-de-Marne;2,9;0,2;2016
Val-d'Oise;3,5;0,2;2016
Total métropole;4,0;0,5;2016
Guadeloupe;4,5;0,9;2016
Martinique;5,4;0,0;2016
Guyane;8,9;16,9;2016
La Réunion;7,8;0,5;2016
Mayotte;12,3;0,0;2016
total DROM;7,4;3,3;2016
France entière;4,2;1,2;2016
Auvergne -  Rhône-Alpes;3,7;0,2;2016
Bourgogne -  Franche-Comté;4,6;0,0;2016
Bretagne;4,3;0,6;2016
Centre -  Val de Loire;4,0;0,2;2016
Corse;4,4;0,1;2016
Grand Est;4,4;0,1;2016
Hauts-de-France;5,1;0,0;2016
Ile-de-France;3,2;1,4;2016
Normandie;4,7;0,2;2016
Nouvelle-Aquitaine;4,3;0,3;2016
Occitanie;4,1;0,1;2016
Pays de la Loire;4,6;0,0;2016
Provence - Alpes - Côte d'Azur;3,7;0,3;2016
