zone_geo;part_age_inf18;part_age_inc;annee
Ille-et-Vilaine;2,9;0,1;2023
Indre;2,9;3,2;2023
Indre-et-Loire;2,8;0,1;2023
Isère;3,2;1,0;2023
Jura;3,7;0,0;2023
Landes;2,7;0,9;2023
Loir-et-Cher;2,3;1,8;2023
Loire;3,2;0,2;2023
Haute-Loire;2,5;0,0;2023
Loire-Atlantique;2,7;0,2;2023
Loiret;3,0;0,6;2023
Lot;2,6;0,2;2023
Lot-et-Garonne;3,1;0,0;2023
Lozère;2,9;0,0;2023
Maine-et-Loire;3,2;0,2;2023
Manche;2,6;0,3;2023
Marne;2,3;2,1;2023
Haute-Marne;5,4;0,0;2023
Mayenne;4,5;0,0;2023
Meurthe-et-Moselle;2,8;0,1;2023
Meuse;4,3;1,6;2023
Morbihan;2,8;0,3;2023
Moselle;2,6;0,2;2023
Nièvre;2,7;0,5;2023
Nord;3,3;0,3;2023
Oise;2,4;0,3;2023
Orne;3,5;0,0;2023
Pas-de-Calais;4,6;0,2;2023
Puy-de-Dôme;2,9;1,0;2023
Pyrénées-Atlantiques;2,2;2,1;2023
Hautes-Pyrénées;3,0;0,1;2023
Pyrénées-Orientales;3,5;0,1;2023
Bas-Rhin;2,7;0,8;2023
Haut-Rhin;3,1;0,0;2023
Rhône;2,0;1,2;2023
Haute-Saône;1,7;0,1;2023
Saône-et-Loire;3,7;0,1;2023
Sarthe;4,6;0,1;2023
Savoie;2,4;0,5;2023
Haute-Savoie;2,5;0,3;2023
Paris;1,7;5,4;2023
Seine-Maritime;3,3;0,1;2023
Seine-et-Marne;2,7;0,3;2023
Yvelines;2,2;0,3;2023
Deux-Sèvres;3,4;0,0;2023
Somme;3,9;0,4;2023
Tarn;3,5;1,9;2023
Tarn-et-Garonne;3,3;1,3;2023
Var;2,8;1,0;2023
Vaucluse;4,0;0,2;2023
Vendée;3,6;0,0;2023
Vienne;4,0;0,3;2023
Haute-Vienne;3,0;0,0;2023
Vosges;5,4;1,7;2023
Yonne;3,4;0,0;2023
Territoire de Belfort;6,1;0,0;2023
Essonne;1,8;0,2;2023
Hauts-de-Seine;1,8;0,1;2023
Seine-Saint-Denis;1,8;5,8;2023
Val-de-Marne;1,7;0,2;2023
Val-d'Oise;1,9;0,1;2023
Total métropole;2,7;1,0;2023
Guadeloupe;2,8;0,4;2023
Martinique;4,0;0,8;2023
Guyane;5,3;0,1;2023
La Réunion;4,8;0,8;2023
Mayotte;12,3;3,1;2023
total DROM;5,1;0,8;2023
France entière;2,9;1,0;2023
Auvergne -  Rhône-Alpes;2,7;0,7;2023
Bourgogne -  Franche-Comté;3,1;0,2;2023
Bretagne;3,0;0,3;2023
Centre -  Val de Loire;2,8;0,6;2023
Corse;2,4;4,0;2023
Grand Est;3,1;0,6;2023
Hauts-de-France;3,6;0,3;2023
Ile-de-France;1,9;2,1;2023
Normandie;3,5;0,1;2023
Nouvelle-Aquitaine;2,9;1,0;2023
Occitanie;3,0;0,6;2023
Pays de la Loire;3,4;0,1;2023
Provence - Alpes - Côte d'Azur;2,7;1,2;2023
Ain;2,5;0,1;2022
Aisne;3,8;0,2;2022
Allier;4,1;0,1;2022
Alpes-de-Haute-Provence;2,7;1,0;2022
Hautes-Alpes;3,5;2,2;2022
Alpes-Maritimes;2,4;1,5;2022
Ardèche;3,4;0,1;2022
Ardennes;3,8;0,3;2022
Ariège;2,8;0,6;2022
Aube;4,8;0,0;2022
Aude;3,4;1,2;2022
Aveyron;3,0;0,1;2022
Bouches-du-Rhône;2,5;1,0;2022
Calvados;3,8;0,2;2022
Cantal;3,1;0,9;2022
Charente;2,7;0,2;2022
Charente-Maritime;3,5;0,3;2022
Cher;3,5;0,2;2022
Corrèze;3,9;0,0;2022
Corse-du-Sud;3,0;0,5;2022
Haute-Corse;1,4;2,0;2022
Côte-d'Or;3,1;0,1;2022
Côtes-d'Armor;3,4;0,1;2022
Creuse;5,4;0,8;2022
Dordogne;3,8;0,3;2022
Doubs;2,5;0,0;2022
Drôme;2,6;0,5;2022
Eure;3,3;0,1;2022
Eure-et-Loir;2,7;0,1;2022
Finistère;3,3;0,4;2022
Gard;3,4;0,6;2022
Haute-Garonne;2,1;1,2;2022
Gers;3,4;1,6;2022
Gironde;2,5;2,1;2022
Hérault;2,6;0,5;2022
Ille-et-Vilaine;2,9;1,4;2022
Indre;2,9;1,3;2022
Indre-et-Loire;3,3;0,7;2022
Isère;3,0;0,4;2022
Jura;4,3;0,3;2022
Landes;2,3;0,1;2022
Loir-et-Cher;4,4;1,0;2022
Loire;2,7;0,3;2022
Haute-Loire;2,9;0,8;2022
Loire-Atlantique;2,7;0,2;2022
Loiret;3,5;0,3;2022
Lot;3,3;0,0;2022
Lot-et-Garonne;3,0;0,1;2022
Lozère;1,1;0,6;2022
Maine-et-Loire;3,0;0,0;2022
Manche;2,9;1,0;2022
Marne;2,4;0,7;2022
Haute-Marne;3,7;0,5;2022
Mayenne;2,1;0,3;2022
Meurthe-et-Moselle;3,3;0,0;2022
Meuse;5,0;0,8;2022
Morbihan;3,4;0,3;2022
Moselle;2,4;0,1;2022
Nièvre;2,3;0,0;2022
Nord;3,4;0,3;2022
Oise;2,9;0,4;2022
Orne;4,5;0,0;2022
Pas-de-Calais;3,8;0,5;2022
Puy-de-Dôme;2,4;0,1;2022
Pyrénées-Atlantiques;2,9;2,5;2022
Hautes-Pyrénées;4,0;0,0;2022
Pyrénées-Orientales;3,2;0,1;2022
Bas-Rhin;3,3;0,7;2022
Haut-Rhin;2,4;0,1;2022
Rhône;2,2;1,0;2022
Haute-Saône;4,1;0,0;2022
Saône-et-Loire;3,1;0,2;2022
Sarthe;2,9;0,2;2022
Savoie;2,1;1,6;2022
Haute-Savoie;1,9;0,3;2022
Paris;1,6;6,7;2022
Seine-Maritime;3,1;0,0;2022
Seine-et-Marne;2,4;0,2;2022
Yvelines;2,2;0,2;2022
Deux-Sèvres;3,8;0,2;2022
Somme;3,1;0,0;2022
Tarn;3,5;1,5;2022
Tarn-et-Garonne;6,3;1,4;2022
Var;3,1;0,8;2022
Vaucluse;3,6;0,2;2022
Vendée;3,3;0,1;2022
Vienne;3,8;0,2;2022
Haute-Vienne;3,5;0,2;2022
Vosges;2,5;1,8;2022
Yonne;3,1;0,0;2022
Territoire de Belfort;5,9;0,0;2022
Essonne;2,4;0,0;2022
Hauts-de-Seine;1,8;0,1;2022
Seine-Saint-Denis;2,1;6,2;2022
Val-de-Marne;1,9;0,2;2022
Val-d'Oise;2,0;0,1;2022
Total métropole;2,7;1,0;2022
Guadeloupe;3,1;0,5;2022
Martinique;2,7;0,3;2022
Guyane;5,0;0,1;2022
La Réunion;5,0;0,5;2022
Mayotte;10,7;2,4;2022
total DROM;4,9;0,6;2022
France entière;2,9;1,0;2022
Auvergne -  Rhône-Alpes;2,5;0,5;2022
Bourgogne -  Franche-Comté;3,3;0,1;2022
Bretagne;3,2;0,6;2022
Centre -  Val de Loire;3,4;0,5;2022
Corse;2,2;1,3;2022
Grand Est;3,0;0,4;2022
Hauts-de-France;3,4;0,3;2022
Ile-de-France;2,0;2,3;2022
Normandie;3,3;0,2;2022
Nouvelle-Aquitaine;3,1;1,1;2022
Occitanie;3,0;0,8;2022
Pays de la Loire;2,8;0,2;2022
Provence - Alpes - Côte d'Azur;2,7;1,0;2022
Ain;2,7;0,1;2021
Aisne;4,1;0,2;2021
Allier;4,0;0,6;2021
Alpes-de-Haute-Provence;3,2;0,4;2021
Hautes-Alpes;3,9;1,8;2021
Alpes-Maritimes;2,8;0,8;2021
Ardèche;2,5;1,5;2021
Ardennes;4,1;0,9;2021
Ariège;3,5;0,0;2021
Aube;3,3;0,1;2021
Aude;3,0;1,0;2021
Aveyron;3,2;0,0;2021
Bouches-du-Rhône;2,5;0,6;2021
Calvados;4,1;0,4;2021
Cantal;2,7;0,0;2021
Charente;3,7;0,0;2021
Charente-Maritime;3,1;0,3;2021
Cher;3,6;0,1;2021
Corrèze;3,2;0,2;2021
Corse-du-Sud;1,7;0,0;2021
Haute-Corse;2,2;0,3;2021
Côte-d'Or;2,5;0,1;2021
Côtes-d'Armor;3,4;0,3;2021
Creuse;2,7;0,0;2021
